voice_data,actual_command
why the,wally
girlfriend,go front
go back,go back
go left,go left
go right,go right
stop,stop
dogs, dance
gangs, dance
dance, dance
guns, dance
done, dance
gangs, dance
look up,look up
look down,look down
turn left,turn left
darn right,turn right
hi,hi
look at me, look at me
by,bye
wally,wally
wally,wally
wally,wally
boiling,wally
girlfriend,go front
go front,go front
girlfriend,go front
girlfriend,go front
go back,go back
go back,go back
go back,go back
go left,go left
go left,go left
go left,go left
go left,go left
go left,go left
go right,go right
go right,go right
go right,go right
stop,stop
stop,stop
stop on,stop
stop,stop
look up,look up
look down,look down
look up,look up
look down,look down
look up,look up
look down,look down
look down,look down
look down,look down
look up,look up
turn left,turn left
turn left,turn left
don't right,turn right
don't right,turn right
look up,look up
don't drive,turn right
hi,hi
hi,hi
look at me,look at me
look at me,look at me
look at me,look at me
by,bye
by,bye
go frank,go front
boiling,boiling
go for,go front
warning, wally
go back,go back
gopher go left, go left
go right,go right
go right,go right
go left,go left
stop,stop
stop,stop
look up,look up
stop,stop
dogs, dance
gangs, dance
dance, dance
guns, dance
done, dance
gangs, dance
looked up,look up
down,look down
don't left,turn left
don't right,turn right
hi,hi
look at me,look at me
look at me,look at me
look up,look up
stop it,stop
go back,go back
go back,go back
go for it,go front
girlfriend,go front
go right,go right
go right,go right
stop,stop
stop,stop
don't left,turn left
stop,stop
look at me,look at me
go left,go left
turn left,turn left
go left,go left
turn left,turn left
turn right,turn right
look up,look up
dogs, dance
gangs, dance
dance, dance
guns, dance
done, dance
gangs, dance
look down,look down
don't left,turn left
go right,go right
go left,go left
go right,go right
go back,go back
go left,go left
right,turn right
while him,wally
walid,wally
boiling,boiling
look at me,look at me
wally,wally
look at me,look at me
hi,hi
by,by
don't left,turn left
don't left,turn left
by,by
voice_data,actual_command
why the,wally
girlfriend,go front
go back,go back
go left,go left
go right,go right
stop,stop
look up,look up
look down,look down
turn left,turn left
darn right,turn right
hi,hi
look at me, look at me
by,bye
wally,wally
wally,wally
wally,wally
boiling,wally
girlfriend,go front
go front,go front
girlfriend,go front
girlfriend,go front
go back,go back
go back,go back
go back,go back
go left,go left
go left,go left
don't left,turn left
don't left,turn left
don't left,turn left
go left,go left
go left,go left
go left,go left
go right,go right
go right,go right
go right,go right
stop,stop
stop,stop
stop on,stop
stop,stop
look up,look up
look down,look down
look up,look up
look down,look down
look up,look up
look down,look down
look down,look down
look down,look down
look up,look up
turn left,turn left
turn left,turn left
don't right,turn right
don't right,turn right
don't left,turn left
look up,look up
don't drive,turn right
hi,hi
hi,hi
look at me,look at me
look at me,look at me
look at me,look at me
by,bye
by,bye
go frank,go front
boiling,boiling
go for,go front
warning, wally
go back,go back
gopher go left, go left
go right,go right
go right,go right
go left,go left
stop,stop
stop,stop
look up,look up
stop,stop
hi,hi
hi,hi
looked up,look up
down,look down
don't left,turn left
don't right,turn right
hi,hi
look at me,look at me
look at me,look at me
look up,look up
stop it,stop
turn left,turn left
turn left,turn left
go back,go back
go back,go back
go for it,go front
girlfriend,go front
go right,go right
go right,go right
stop,stop
stop,stop
stop,stop
look at me,look at me
go left,go left
turn left,turn left
go left,go left
turn left,turn left
turn left,turn left
turn left,turn left
turn left,turn left
hi,hi
hi,hi
turn left,turn left
turn right,turn right
look up,look up
look down,look down
don't left,turn left
go right,go right
go left,go left
go right,go right
go back,go back
go left,go left
right,turn right
while him,wally
walid,wally
boiling,boiling
look at me,look at me
wally,wally
look at me,look at me
hi,hi
by,bye
by,bye
dogs, dance
gangs, dance
dance, dance
guns, dance
done, dance
gangs, dance
